Indicator_Name,Indicator_Code,Country_Name,Country_Code,Year,Values,Num_of_Countries,Num_of_Years,FirstYear,LastYear
Number of under-five deaths,SH.DTH.MORT,IDA only,IDX,2010,2592382,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Europe & Central Asia,ECS,1998,253785,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Myanmar,MMR,1997,104574,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,High income,HIC,2015,68723,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Solomon Islands,SLB,1997,434,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Malawi,MWI,2013,42356,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Japan,JPN,1982,14062,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Morocco,MAR,1968,131019,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Portugal,PRT,2002,689,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Jordan,JOR,2008,4175,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,East Asia & Pacific (excluding high income),EAP,2004,971911,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Macedonia, FYR",MKD,2003,358,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Gabon,GAB,1983,3050,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Barbados,BRB,1961,544,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,East Asia & Pacific (excluding high income),EAP,1990,2307318,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Peru,PER,1966,96259,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Brazil,BRA,1988,264160,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Brazil,BRA,1997,156763,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Fiji,FJI,1968,1046,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Middle East & North Africa (IDA & IBRD countries),TMN,1998,344351,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sub-Saharan Africa (excluding high income),SSA,2002,4020471,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Marshall Islands,MHL,1965,76,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Equatorial Guinea,GNQ,2012,3746,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Lithuania,LTU,2002,319,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Belgium,BEL,1978,1938,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Algeria,DZA,2009,23362,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Trinidad and Tobago,TTO,1974,1235,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Pakistan,PAK,1989,584497,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Austria,AUT,1972,3089,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Bahrain,BHR,2000,182,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,"Micronesia, Fed. Sts.",FSM,2010,100,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Sudan,SDN,1965,63926,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,IBRD only,IBD,1994,5901805,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Europe & Central Asia (excluding high income),ECA,2005,142834,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Benin,BEN,1995,39319,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ecuador,ECU,1968,33498,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Malaysia,MYS,2007,3705,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,San Marino,SMR,1996,2,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Netherlands,NLD,1994,1380,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,East Asia & Pacific,EAS,2004,981406,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Japan,JPN,1973,29791,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Nigeria,NGA,1973,695073,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Grenada,GRD,2015,32,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,New Zealand,NZL,1998,441,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Tanzania,TZA,1995,198697,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Andorra,AND,1998,3,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,OECD members,OED,1991,328820,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,China,CHN,2004,426682,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Pakistan,PAK,1979,508111,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Greece,GRC,2001,663,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Poland,POL,1992,8893,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Ukraine,UKR,1995,10562,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Belgium,BEL,2010,565,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Swaziland,SWZ,1973,3627,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Europe & Central Asia (excluding high income),ECA,1996,250506,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,OECD members,OED,1990,346247,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Equatorial Guinea,GNQ,2008,3771,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Syrian Arab Republic,SYR,1975,26407,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Nicaragua,NIC,1973,18184,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iraq,IRQ,1996,36209,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Tajikistan,TJK,2009,11722,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Zimbabwe,ZWE,1970,26379,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Japan,JPN,1989,8644,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Guyana,GUY,1977,1731,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Argentina,ARG,2015,8727,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Libya,LBY,1967,15461,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Europe & Central Asia,ECS,1995,307052,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Turkey,TUR,1982,174083,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Philippines,PHL,2005,83925,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,New Zealand,NZL,1970,1297,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Iceland,ISL,2008,13,239,57,1960,2016
Number of under-five deaths,SH.DTH.MORT,Gabon,GAB,2010,3206,239,57,1960,2016
